StartTime,EndTime,Duration,Task
2025-03-27 14:47:40,2025-03-27 14:47:45,00:00:04,Exam Board
2025-03-27 14:47:48,2025-03-27 14:47:53,00:00:04,Research
2025-03-27 14:48:00,2025-03-27 14:48:08,00:00:07,Ethics
2025-03-27 14:49:51,2025-03-27 14:49:55,00:00:03,Exam Board
2025-03-27 14:49:56,2025-03-27 14:49:59,00:00:02,Research
2025-03-27 14:49:59,2025-03-27 14:50:03,00:00:04,Exam Board
2025-03-27 14:52:29,2025-03-27 14:52:36,00:00:07,Exam Board
2025-03-27 14:57:25,2025-03-27 14:57:27,00:00:02,Kissing
2025-03-27 14:57:33,2025-03-27 14:57:36,00:00:03,Exam Board
2025-03-27 14:57:37,2025-03-27 14:57:39,00:00:02,Research
2025-03-27 14:57:41,2025-03-27 14:57:43,00:00:02,Ethics
2025-03-27 15:05:41,2025-03-27 15:05:50,00:00:09,Exam Board
2025-03-27 15:12:53,2025-03-27 15:12:59,00:00:05,Exam Board
